Search Engine,Title,Number,Country,Priority Date,Year,Still Valid?,Operating Range,Sustainable Materials,Process / Product,Cited Count,Relevance
LENS,"Method for Manufacturing a Product Mainly Made of Paper Including, Therein, at Least One Radio-Frequency Electromagnetic Wave Transceiver",WO 2022/229990 A1,International,30/04/2021,2021,YES,Generic RFID,Carbon-based Materials,Substrate,0,3
LENS,Linerless label,US 11783730 B2,United States,30/12/2020,2020,YES,NA,NA,Linerless,0,4
JUSTIA,In-line production of linerless labels,US 2020/0402427 A1,United States,20/02/2017,2017,YES,NA,NA,Linerless,0,4
LENS,Manufacturing Process of Self-Adhesive Security Label Without Backing and Protection Tape and Self-Adhesive Security Label Without Backing and Protection Tape,BR 102017002787 A8,Brazil,10/02/2017,2017,YES,NA,NA,Linerless,0,5
LENS,Method for Producing a Conductive Pattern on a Substrate,WO 2021/124201 A1,International,20/12/2019,2019,PENDING,Generic RFID,Carbon-based Materials,Substrate,0,5
LENS,"Method of manufacturing conductive ink composition, antenna structure, and antenna for RFID tag",GB 2533782 A,United Kingdom ,29/12/2014,2014,NO,Generic RFID,Carbon-based Materials,Antenna ,2,3
LENS,RFID  ,GB 2613548 A,United Kingdom ,03/12/2021,2021,YES,Generic RFID,Carbon-based Materials,Antenna ,0,3
LENS,Manufactory Apparatus of Label Sheet Without Release Paper,KR 20230102984 A,Korea,30/12/2021,2021,NO,NA,NA,Linerless,0,4
LENS,"Method for obtaining self-adhesive booklet-label tape, without backing and protection tape",US 10071570 B2,United States,05/11/2014,2014,YES,NA,NA,Linerless,0,4
LENS,Adhesive patch with voids,US 10783807 B2,United States,30/10/2015,2015,YES,NA,NA,Linerless,2,4
LENS,Radio-frequency identification (RFID) label or conductive trace thermal transfer printing method,US 10813225 B2,United States,15/02/2019,2019,YES,Generic RFID,Carbon-based Materials,Substrate,0,2
LENS,Paper based electronics platform,US 10845213 B2,United States,14/01/2016,2016,YES,Generic RFID,Carbon-based Materials,Substrate,1,1
LENS,Consumable product and method of providing the same,US 11113484 B2,United States,05/02/2019,2019,YES,HF,NA,Substrate,0,0
LENS,Miniaturized electronic systems with wireless power and near-field communication capabilities,US 11118965 B2,United States,01/06/2015,2015,YES,HF,Natural Polymers,Substrate,0,2
LENS,Biodegradable parameter monitor,US 11187689 B2,United States,20/10/2015,2015,YES,Generic RFID,Natural Polymers,Substrate,0,1
LENS,Linerless label and method for preparing a label,US 11624005 B2,United States,10/02/2014,2014,YES,NA,NA,Linerless,0,4
LENS,Subsoil moisture monitoring system including battery-less wireless chipless sensors,US 11635402 B2,United States,26/10/2020,2020,YES,Generic RFID,Bioplastics,Substrate,0,0
LENS,Methods of making paper and labels,US 11760118 B2,United States,23/03/2012,2012,YES,NA,NA,Linerless,0,4
LENS,Biodegradable Materials for Multilayer Transient Printed Circuit Boards,US 2016/0050750 A1,United States,12/04/2013,2013,YES,HF,Bioplastics,Substrate,58,3
LENS,Linerless Self-Adhesive Material,US 2016/0257860 A1,United States,28/06/2013,2013,YES,NA,NA,Linerless,2,5
LENS,"Rfid Tag Substrate Using Paper Substrate, and Rfid Tag",US 2017/0132505 A1,United States,09/07/2014,2014,NO,Generic RFID,Carbon-based Materials,Substrate,0,3
LENS,"Multi-Functional, Intelligent and Eco-Friendly Tape",US 2018/0350274 A1,United States,30/05/2017,2017,NO,Generic RFID,Carbon-based Materials,Substrate,1,2
LENS,Printed Rfid Sensor Tag,US 2019/0164030 A1,United States,30/11/2017,2017,YES,Generic RFID,Carbon-based Materials,Antenna ,3,3
LENS,System and Method for Radio Frequency Identification Tag Reuse,US 2020/0119428 A1,United States,16/10/2018,2018,YES,Generic RFID,NA,Recycling,0,2
LENS,Recyclable Rfid Transponder Components and Production Methods for Same,US 2020/0160137 A1,United States,15/11/2018,2018,YES,Generic RFID,Natural Polymers,Substrate,1,3
LENS,Wireless Communication Device,US 2021/0125017 A1,United States,09/08/2018,2018,YES,UHF,Carbon-based Materials,Antenna ,1,3
LENS,Flexible Printed Articles,US 2022/0007515 A1,United States,29/08/2019,2019,PENDING,Generic RFID,Carbon-based Materials,Substrate,1,3
LENS,Apparatus and Method for the Provision of Labels,US 2022/0315265 A1,United States,23/08/2019,2019,YES,NA,NA,Linerless,0,4
LENS,"A linerless label product, manufacturing a linerless label product and use of a linerless label product for delivery of orders",US 2023/0108262 A1,United States,27/03/2020,2020,YES,NA,NA,Linerless,0,5
LENS,Carbon-based conducting inks,US 2023/0142469 A1,United States,05/03/2020,2020,PENDING,Generic RFID,Carbon-based Materials,"Substrate, Antenna",0,2
LENS,Linerless Film Stack,US 2023/0348756 A1,United States,14/10/2020,2020,PENDING,NA,NA,Linerless,0,4
LENS,Linerless label identification,US 5782496 A,United States,03/11/1995,1995,NO,NA,NA,Linerless,113,4
LENS,Radio frequency identification tags and labels,US 6147662 A,United States,10/09/1999,1999,NO,Generic RFID,NA,Linerless,356,4
LENS,RFID manufacturing concepts,US 6451154 B1,United States,18/02/2000,2000,NO,Generic RFID,NA,Linerless,322,1
LENS,A Biodegradable Circuit Board,WO 2013/144420 A1,International ,29/03/2012,2012,PENDING,Generic RFID,Bioplastics,Substrate,10,3
LENS,A Uhf Rfid Tag,WO 2020/261168 A1,International,26/06/2019,2019,PENDING,UHF,Carbon-based Materials,Substrate,0,3
LENS,Rfid Label,WO 2021/090189 A1,International,08/11/2019,2019,YES,Generic RFID,Carbon-based Materials,Substrate,0,3
LENS,Inks and Labels to Facilitate Recycling,WO 2021/092478 A1,International,08/11/2019,2019,PENDING,NA,NA,Recycling,1,4
